model_name,model_family
01-ai--Yi-6B,Yi
01-ai--Yi-6B-200K,Yi
01-ai--Yi-34B-Chat,Yi
CausalLM--34b-beta,Yi
ConvexAI--Luminex-34B-v0.1,Yi
ConvexAI--Luminex-34B-v0.2,Yi
NousResearch--Nous-Hermes-2-Yi-34B,Yi
SUSTech--SUS-Chat-34B,Yi
dfurman--HermesBagel-34B-v0.1,Yi
fblgit--UNA-SimpleSmaug-34b-v1beta,Yi
TigerResearch--tigerbot-13b-base,bloom
TigerResearch--tigerbot-7b-base-v1,bloom
TigerResearch--tigerbot-7b-base-v2,bloom
TigerResearch--tigerbot-7b-sft-v1,bloom
TigerResearch--tigerbot-7b-sft-v2,bloom
bigscience--bloom-3b,bloom
bigscience--bloom-7b1,bloom
bigscience--bloomz-3b,bloom
bigscience--bloomz-7b1,bloom
codefuse-ai--CodeFuse-DeepSeek-33B,deepseek
deepseek-ai--deepseek-coder-1.3b-base,deepseek
deepseek-ai--deepseek-coder-6.7b-instruct,deepseek
deepseek-ai--deepseek-llm-67b-chat,deepseek
deepseek-ai--deepseek-math-7b-instruct,deepseek
tiiuae--falcon-40b-instruct,falcon
google--gemma-2b-it,gemma
google--gemma-7b-it,gemma
bigcode--octocoder,gpt_bigcode
FelixChao--vicuna-7B-chemical,llama-1
FelixChao--vicuna-7B-physics,llama-1
LLM360--Amber,llama-1
Neko-Institute-of-Science--metharme-7b,llama-1
Neko-Institute-of-Science--pygmalion-7b,llama-1
NousResearch--Nous-Hermes-13b,llama-1
TheBloke--koala-13B-HF,llama-1
TheBloke--tulu-30B-fp16,llama-1
lmsys--vicuna-33b-v1.3,llama-1
lmsys--vicuna-7b-v1.1,llama-1
nomic-ai--gpt4all-13b-snoozy,llama-1
openlm-research--open_llama_7b,llama-1
project-baize--baize-v2-13b,llama-1
AdaptLLM--medicine-LLM,llama-1
AdaptLLM--medicine-LLM-13B,llama-1
AdaptLLM--medicine-chat,llama-2
EleutherAI--llemma_34b,llemma
EleutherAI--llemma_7b,llemma
FelixChao--llama2-13b-math1.2,llama-2
Harshvir--Llama-2-7B-physics,llama-2
MaziyarPanahi--WizardLM-Math-70B-v0.1,llama-2
OpenBuddy--openbuddy-codellama2-34b-v11.1-bf16,null
kyujinpy--Sakura-SOLRCA-Math-Instruct-DPO-v1,llama-2
meta-math--MetaMath-Llemma-7B,llemma
microsoft--Orca-2-13b,llama-2
microsoft--Orca-2-7b,llama-2
upstage--SOLAR-10.7B-Instruct-v1.0,llama-2
PharMolix--BioMedGPT-LM-7B,llama-2
WizardLM--WizardLM-70B-V1.0,llama-2
allenai--tulu-2-dpo-70b,llama-2
codellama--CodeLlama-13b-Instruct-hf,llama-2
